Município,Evento,Status,População,Mortos,Feridos,Enfermos,Desabrigados,Desalojados,Desaparecidos,Outros Afetados,Registro
Camaquã,Alagamentos,Registro,62759,0,0,0,0,0,0,109,04/03/2024
Camargo,Tempestade Local/Convectiva - Vendaval,Registro,2591,0,0,0,0,0,0,0,30/12/2024
Camargo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,2591,0,0,0,0,0,0,2981,05/05/2024
Cambará do Sul,Tempestade Local/Convectiva - Vendaval,Reconhecido,6545,0,0,0,0,4,0,299,13/05/2024
Campestre da Serra,Enxurradas,Reconhecido,3247,0,0,0,0,0,0,350,05/05/2024
Campina das Missões,Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,6117,0,0,0,0,0,0,5882,06/05/2024
Campinas do Sul,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5509,0,0,0,0,3,0,5281,04/05/2024
Campo Bom,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,60081,0,0,0,280,3200,0,6120,07/05/2024
Campo Novo,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,5459,0,0,0,0,0,0,1200,05/06/2024
Campos Borges,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,3494,0,0,0,0,30,0,0,02/05/2024
Campos Borges,Tempestade Local/Convectiva - Vendaval,Registro,3494,0,0,0,0,0,0,0,21/03/2024
Candelária,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,30176,1,7,25,500,800,120,23000,02/05/2024
Candelária,Tempestade Local/Convectiva - Vendaval,Registro,30176,0,0,0,0,0,0,0,22/01/2024
Candiota,Tempestade Local/Convectiva - Vendaval,Reconhecido,8776,0,0,0,0,0,0,480,10/12/2024
Candiota,Tempestade Local/Convectiva - Chuvas Intensas,Registro,8776,0,0,0,0,0,0,160,01/10/2024
Candiota,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,8776,0,0,0,0,0,0,10710,07/05/2024
Candiota,Tempestade Local/Convectiva - Vendaval,Reconhecido,8776,0,0,0,0,0,0,160,17/01/2024
Canela,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,39238,2,7,5,235,402,0,45000,07/05/2024
Canela,Deslizamentos,Reconhecido,39238,2,7,5,235,402,0,45000,03/05/2024
Canela,Tempestade Local/Convectiva - Vendaval,Reconhecido,39238,0,0,0,11,0,0,39227,23/01/2024
Canguçu,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,53268,0,0,0,0,4,0,21284,27/09/2024
Canguçu,Tempestade Local/Convectiva - Granizo,Registro,53268,0,0,0,0,0,0,0,23/09/2024
Canguçu,Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,53268,0,0,0,0,0,0,21284,06/05/2024
Canguçu,Tempestade Local/Convectiva - Vendaval,Reconhecido,53268,0,0,0,0,0,0,49680,21/03/2024
Canguçu,Enxurradas,Registro,53268,0,0,0,0,0,0,0,01/03/2024
