state,municipality,register,COBRADE,population,deaths,injured,sick,displaced,homeless,disapeared,other affecteds,Year
RS,Bozano,10/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,2200,0,0,0,0,0,0,2200,2024
RS,Braga,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,3702,0,0,0,0,120,0,3148,2024
RS,Brochier,24/10/2024,13215 - Tempestade Local/Convectiva - Vendaval,4677,0,0,0,0,0,0,0,2024
RS,Brochier,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,4677,0,0,0,3,100,0,4863,2024
RS,Brochier,30/04/2024,12100 - InundaÁıes,4677,0,0,0,0,5,0,0,2024
RS,Brochier,22/03/2024,13215 - Tempestade Local/Convectiva - Vendaval,4677,0,0,0,0,0,0,0,2024
RS,Buti·,02/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,20405,0,0,0,50,50,0,1000,2024
RS,Buti·,30/04/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,20405,0,0,0,0,0,0,1000,2024
RS,C‚ndido GodÛi,26/09/2024,13215 - Tempestade Local/Convectiva - Vendaval,6535,0,0,0,0,0,0,0,2024
RS,C‚ndido GodÛi,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,6535,0,0,0,0,0,0,6294,2024
RS,CaÁapava do Sul,02/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,33700,0,0,0,0,0,0,0,2024
RS,Cacequi,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,13685,0,0,0,16,107,0,11034,2024
RS,Cacequi,18/04/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,13685,0,0,0,0,0,0,2404,2024
RS,Cachoeira do Sul,28/06/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,83827,0,0,0,50,76,2,83701,2024
RS,Cachoeira do Sul,06/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,83827,0,15,7,372,2446,0,80987,2024
RS,Cachoeirinha,07/05/2024,13214 - Tempestade Local/Convectiva - Chuvas Intensas,118294,0,0,0,1853,3016,0,131389,2024
