CD_MUN,"Sum(PRECIPITAÇÃO TOTAL, HORÁRIO (mm))",municipio,UF,População,DH_Mortos,DH_Feridos,DH_Enfermos,DH_Desabrigados,DH_Desalojados,DH_Desaparecidos,Registro,Protocolo,COBRADE,Status,DH_Outros Afetados,COBRADE_COD,Year
4308508,1924.8,FREDERICO WESTPHALEN,RS,28848,0,0,0,7,76,0,19/03/2024,RS-F-4308508-13214-20240318,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,87,13214,2024
1301704,1741,HUMAITA,RS,4919,0,0,0,0,0,0,07/05/2024,RS-F-4309704-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,4681,13214,2024
1301704,1741,HUMAITA,RS,4919,0,0,0,0,4,0,05/01/2024,RS-F-4309704-13215-20231229,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,248,13215,2024
4310009,2259.4,IBIRUBA,RS,19312,0,0,0,0,100,0,08/05/2024,RS-F-4310009-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,0,13214,2024
4310009,2259.4,IBIRUBA,RS,19312,0,0,0,0,100,0,02/05/2024,RS-F-4310009-12300-20240501,12300 - Alagamentos,Registro,0,12300,2024
4311007,2077.8,JAGUARAO,RS,27942,0,0,0,0,0,0,23/09/2024,RS-F-4311007-13213-20240923,13213 - Tempestade Local/Convectiva - Granizo,Reconhecido,12000,13213,2024
4311007,2077.8,JAGUARAO,RS,27942,0,0,0,0,0,0,21/06/2024,RS-F-4311007-13214-20240619,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Não reconhecido,0,13214,2024
4311007,2077.8,JAGUARAO,RS,27942,0,0,0,0,0,0,06/05/2024,RS-F-4311007-13214-20240429,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,27942,13214,2024
4311007,2077.8,JAGUARAO,RS,27942,0,0,0,0,0,0,30/03/2024,RS-F-4311007-13214-20240321,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,64,13214,2024
4311304,1864.2,LAGOA VERMELHA,RS,27529,0,0,0,7,5,0,14/05/2024,RS-F-4311304-13214-20240507,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,13214,2024
4311304,1864.2,LAGOA VERMELHA,RS,27529,0,0,0,7,5,0,04/05/2024,RS-F-4311304-13214-20240501,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,27517,13214,2024
4311304,1864.2,LAGOA VERMELHA,RS,27529,0,0,0,0,0,0,22/03/2024,RS-F-4311304-13215-20240321,13215 - Tempestade Local/Convectiva - Vendaval,Reconhecido,27529,13215,2024
4311304,1864.2,LAGOA VERMELHA,RS,27529,0,0,0,0,0,0,14/05/2024,RS-F-4311304-13214-20240301,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Registro,0,13214,2024
2920700,658,MARAU,RS,36383,0,0,0,30,24,0,03/05/2024,RS-F-4311809-13214-20240502,13214 - Tempestade Local/Convectiva - Chuvas Intensas,Reconhecido,9300,13214,2024
4313706,2236,PALMEIRA DAS MISSOES,RS,34335,0,0,0,0,0,0,27/09/2024,RS-F-4313706-13215-20240925,13215 - Tempestade Local/Convectiva - Vendaval,Registro,700,13215,2024
