arquivo,estacao,uf,latitude,longitude
INMET_S_RS_A803_SANTA MARIA_01-01-2024_A_31-12-2024.CSV,SANTA MARIA,RS,-29.72499999,-53.72055554
INMET_SE_MG_A535_FLORESTAL_01-01-2024_A_31-12-2024.CSV,FLORESTAL,MG,-19.88527777,-44.41694443
INMET_N_AM_A126_PRESIDENTE FIGUEIREDO_01-01-2024_A_31-12-2024.CSV,PRESIDENTE FIGUEIREDO,AM,-2.05666666,-60.02583332
INMET_N_PA_A215_SALINOPOLIS_01-01-2024_A_31-12-2024.CSV,SALINOPOLIS,PA,-.61888888,-47.35666666
INMET_SE_MG_A529_PASSA QUATRO_01-01-2024_A_31-12-2024.CSV,PASSA QUATRO,MG,-22.39583333,-44.96194444
INMET_CO_GO_A035_ITUMBIARA_01-01-2024_A_31-12-2024.CSV,ITUMBIARA,GO,-18.40972222,-49.19194444
INMET_NE_PE_A309_ARCO VERDE_01-01-2024_A_31-12-2024.CSV,ARCO VERDE,PE,-8.4336111,-37.05555555
INMET_N_AM_A112_HUMAITA_01-01-2024_A_31-12-2024.CSV,HUMAITA,AM,-7.5525,-63.07138888
INMET_NE_MA_A204_BALSAS_01-01-2024_A_31-12-2024.CSV,BALSAS,MA,-7.45555555,-46.02749999
INMET_S_PR_B806_COLOMBO_01-01-2024_A_31-12-2024.CSV,COLOMBO,PR,-25.322464,-49.157733
INMET_N_PA_A214_RONDON DO PARA_01-01-2024_A_31-12-2024.CSV,RONDON DO PARA,PA,-4.82749999,-48.1736111
INMET_S_PR_A872_VENTANIA_01-01-2024_A_31-12-2024.CSV,VENTANIA,PR,-24.28027777,-50.21027777
INMET_SE_ES_A616_SAO MATEUS_01-01-2024_A_31-12-2024.CSV,SAO MATEUS,ES,-18.6761111,-39.86416666
INMET_NE_RN_A316_CAICO_01-01-2024_A_31-12-2024.CSV,CAICO,RN,-6.46749999,-37.08499999
INMET_CO_MS_A750_AMAMBAI_01-01-2024_A_31-12-2024.CSV,AMAMBAI,MS,-23.0025,-55.32944443
INMET_NE_BA_A444_VALENCA_01-01-2024_A_31-12-2024.CSV,VALENCA,BA,-13.3436111,-39.12666666
INMET_N_AM_A120_AUTAZES_01-01-2024_A_31-12-2024.CSV,AUTAZES,AM,-3.58333333,-59.12944443
INMET_NE_AL_A353_ARAPIRACA_01-01-2024_A_31-12-2024.CSV,ARAPIRACA,AL,-9.80444444,-36.61916666
INMET_SE_MG_A513_OURO BRANCO_01-01-2024_A_31-12-2024.CSV,OURO BRANCO,MG,-20.55666666,-43.75611111
INMET_SE_MG_A528_TRES MARIAS_01-01-2024_A_31-12-2024.CSV,TRES MARIAS,MG,-18.200855,-45.459836
INMET_NE_SE_A451_ITABAIANA_01-01-2024_A_31-12-2024.CSV,ITABAIANA,SE,-10.67166666,-37.47138888
INMET_N_AM_A123_PARINTINS_01-01-2024_A_31-12-2024.CSV,PARINTINS,AM,-2.63916666,-56.75611111
INMET_CO_GO_A022_GOIANESIA_01-01-2024_A_31-12-2024.CSV,GOIANESIA,GO,-15.22027777,-48.98999999
INMET_N_AP_A242_OIAPOQUE_01-01-2024_A_31-12-2024.CSV,OIAPOQUE,AP,3.81361111,-51.8625
INMET_SE_MG_A521_BELO HORIZONTE (PAMPULHA)_01-01-2024_A_31-12-2024.CSV,BELO HORIZONTE (PAMPULHA),MG,-19.88388888,-43.96944443
INMET_NE_CE_A339_JAGUARUANA_01-01-2024_A_31-12-2024.CSV,JAGUARUANA,CE,-4.83777777,-37.69972221
INMET_NE_SE_A421_BREJO GRANDE_01-01-2024_A_31-12-2024.CSV,BREJO GRANDE,SE,-10.47388888,-36.48194443
INMET_N_PA_A229_TUCURUI_01-01-2024_A_31-12-2024.CSV,TUCURUI,PA,-3.82277777,-49.67499999
INMET_S_SC_A816_NOVO HORIZONTE_01-01-2024_A_31-12-2024.CSV,NOVO HORIZONTE,SC,-26.40638888,-52.85027777
INMET_CO_GO_A036_CRISTALINA_01-01-2024_A_31-12-2024.CSV,CRISTALINA,GO,-16.78499999,-47.61305555
