CD_MUN_2,area_risco_km2,NM_MUN_2,SIGLA_UF,CD_MUN,area_municipio_km2,perc_area_em_risco
1101468,6064.561420441583,Pimenteiras do Oeste,RO,1101468,6064.573024406235,99.99980865982478
1101476,610.4482108596084,Primavera de Rondônia,RO,1101476,610.448210859601,100.00000000000122
1101484,546.0801743244388,São Felipe D'Oeste,RO,1101484,546.0801743244403,99.99999999999972
1101492,11078.814256281325,São Francisco do Guaporé,RO,1101492,11082.168476425742,99.96973317856019
1101500,3820.7417323849936,Seringueiras,RO,1101500,3820.7417323850186,99.99999999999935
1101559,464.6413595477321,Teixeirópolis,RO,1101559,464.6413595477399,99.99999999999832
1101609,2220.1409240016847,Theobroma,RO,1101609,2220.1409240016874,99.99999999999987
1101708,840.5648161520128,Urupá,RO,1101708,840.564816152005,100.00000000000091
1101757,3164.553120678494,Vale do Anari,RO,1101757,3164.5531206784876,100.0000000000002
1101807,975.0917719653125,Vale do Paraíso,RO,1101807,975.0917719653131,99.99999999999994
1200013,1856.7941840542217,Acrelândia,AC,1200013,1856.7991764676985,99.99973112797872
1200054,5167.782482439472,Assis Brasil,AC,1200054,5167.803357779319,99.99959605003514
1200104,4062.588906240681,Brasiléia,AC,1200104,4062.596996411862,99.9998008620794
1200138,3125.7509477488848,Bujari,AC,1200138,3125.750947748877,100.00000000000024
1200179,1754.2202214744696,Capixaba,AC,1200179,1754.2247245070419,99.99974330355117
1200203,9248.222392541882,Cruzeiro do Sul,AC,1200203,9248.226226029416,99.9999585489429
1200252,1704.8682751937124,Epitaciolândia,AC,1200252,1704.876504025989,99.99951733558076
1200302,29151.85295926857,Feijó,AC,1200302,29151.878439838558,99.9999125937286
1200328,5613.720597474961,Jordão,AC,1200328,5613.723977805872,99.99993978451872
1200336,5762.272505850158,Mâncio Lima,AC,1200336,5762.280364709741,99.99986361545976
1200344,11029.419287523866,Manoel Urbano,AC,1200344,11029.419843920681,99.99999495533923
1200351,8612.629178276373,Marechal Thaumaturgo,AC,1200351,8612.671980342047,99.99950303383466
1200385,2004.132211787665,Plácido de Castro,AC,1200385,2004.1393036983404,99.99964613683977
1200393,6785.685294470584,Porto Walter,AC,1200393,6785.687667099028,99.9999650348121
1200401,9106.496932814865,Rio Branco,AC,1200401,9106.49693281487,99.99999999999994
1200427,3247.399146480576,Rodrigues Alves,AC,1200427,3247.4015308265753,99.99992657680373
1200435,6402.689309625871,Santa Rosa do Purus,AC,1200435,6402.703132566817,99.99978410773295
1200450,2382.394327707778,Senador Guiomard,AC,1200450,2382.394327707777,100.00000000000004
1200500,24597.106692795158,Sena Madureira,AC,1200500,24597.10720176602,99.99999793076944
