"country","state","municipality","municipality - state","geocode","feature_id","class","class_level_0","class_level_1","class_level_2","2013","2023","new column","total_eventos","total_afetados","populacao_total","percentual_afetados","municipality (Right)","state (Right)"
"Brasil","Acre","Xapuri","Xapuri - AC",1200708,73,3,"Natural","1. Forest","1.1. Forest Formation",420949.574953111,367670.793219305,-12.65680853573511,1,14394,16016,"89.87262737262736","Xapuri","AC"
"Brasil","Acre","Xapuri","Xapuri - AC",1200708,73,4,"Natural","1. Forest","1.2. Savanna Formation",0,0,,1,14394,16016,"89.87262737262736","Xapuri","AC"
"Brasil","Acre","Xapuri","Xapuri - AC",1200708,73,6,"Natural","1. Forest","1.4 Floodable Forest",1257.99418660279,1229.77590060425,-2.2431173608793435,1,14394,16016,"89.87262737262736","Xapuri","AC"
"Brasil","Acre","Porto Acre","Porto Acre - AC",1200807,74,3,"Natural","1. Forest","1.1. Forest Formation",141570.096576856,120134.754429648,-15.141151037903771,1,4516,14806,"30.501148183168986","Porto Acre","AC"
"Brasil","Acre","Porto Acre","Porto Acre - AC",1200807,74,4,"Natural","1. Forest","1.2. Savanna Formation",0,2.55739761352539,,1,4516,14806,"30.501148183168986","Porto Acre","AC"
"Brasil","Acre","Porto Acre","Porto Acre - AC",1200807,74,6,"Natural","1. Forest","1.4 Floodable Forest",2504.86229735108,2385.50163164063,-4.765158780850961,1,4516,14806,"30.501148183168986","Porto Acre","AC"
"Brasil","Amazonas","Alvarães","Alvarães - AM",1300029,75,3,"Natural","1. Forest","1.1. Forest Formation",528279.988906109,523442.576853101,-0.9156909507446311,1,624,14080,"4.431818181818182","Alvarães","AM"
"Brasil","Amazonas","Alvarães","Alvarães - AM",1300029,75,4,"Natural","1. Forest","1.2. Savanna Formation",0.446238665771484,0.446238665771484,0,1,624,14080,"4.431818181818182","Alvarães","AM"
"Brasil","Amazonas","Alvarães","Alvarães - AM",1300029,75,6,"Natural","1. Forest","1.4 Floodable Forest",41898.9718063836,41764.9839179008,-0.31978801079406316,1,624,14080,"4.431818181818182","Alvarães","AM"
"Brasil","Amazonas","Coari","Coari - AM",1301209,94,3,"Natural","1. Forest","1.1. Forest Formation",4658079.26228852,4653795.15745786,-0.091971488448978,1,810,75909,"1.067067146188199","Coari","AM"
"Brasil","Amazonas","Coari","Coari - AM",1301209,94,6,"Natural","1. Forest","1.4 Floodable Forest",838420.49648077,849033.448929527,1.2658269321067863,1,810,75909,"1.067067146188199","Coari","AM"
"Brasil","Amazonas","Envira","Envira - AM",1301506,97,3,"Natural","1. Forest","1.1. Forest Formation",687956.790311381,675654.906377779,-1.7881768312852868,2,5416,16328,"33.17001469867712","Envira","AM"
"Brasil","Amazonas","Envira","Envira - AM",1301506,97,4,"Natural","1. Forest","1.2. Savanna Formation",0,0,,2,5416,16328,"33.17001469867712","Envira","AM"
"Brasil","Amazonas","Envira","Envira - AM",1301506,97,6,"Natural","1. Forest","1.4 Floodable Forest",40104.5102905461,36923.6772704233,-7.931359832294535,2,5416,16328,"33.17001469867712","Envira","AM"
"Brasil","Amazonas","Guajará","Guajará - AM",1301654,99,3,"Natural","1. Forest","1.1. Forest Formation",613338.303384448,597458.738728705,-2.589038474870787,1,5775,14074,"41.03311070058264","Guajará","AM"
"Brasil","Amazonas","Guajará","Guajará - AM",1301654,99,4,"Natural","1. Forest","1.2. Savanna Formation",0,0.975103234863281,,1,5775,14074,"41.03311070058264","Guajará","AM"
"Brasil","Amazonas","Guajará","Guajará - AM",1301654,99,6,"Natural","1. Forest","1.4 Floodable Forest",105304.2953157,103768.210384186,-1.458710612809153,1,5775,14074,"41.03311070058264","Guajará","AM"
"Brasil","Amazonas","Humaitá","Humaitá - AM",1301704,100,3,"Natural","1. Forest","1.1. Forest Formation",2511475.8024551,2439781.24596478,-2.8546783695958777,2,4933,4919,"100.28461069323033","Humaitá","RS"
"Brasil","Amazonas","Humaitá","Humaitá - AM",1301704,100,4,"Natural","1. Forest","1.2. Savanna Formation",819.157362622072,2193.98679348755,167.83459364446585,2,4933,4919,"100.28461069323033","Humaitá","RS"
"Brasil","Amazonas","Humaitá","Humaitá - AM",1301704,100,6,"Natural","1. Forest","1.4 Floodable Forest",554094.246910516,544217.924277313,-1.7824264894051478,2,4933,4919,"100.28461069323033","Humaitá","RS"
"Brasil","Amazonas","Itacoatiara","Itacoatiara - AM",1301902,103,3,"Natural","1. Forest","1.1. Forest Formation",433237.48271169,422870.204330843,-2.3929781689148553,1,3738,86840,"4.304467987102718","Itacoatiara","AM"
"Brasil","Amazonas","Itacoatiara","Itacoatiara - AM",1301902,103,4,"Natural","1. Forest","1.2. Savanna Formation",0,0.981969720458984,,1,3738,86840,"4.304467987102718","Itacoatiara","AM"
"Brasil","Amazonas","Itacoatiara","Itacoatiara - AM",1301902,103,6,"Natural","1. Forest","1.4 Floodable Forest",180127.551396756,183227.607943855,1.7210340800506918,1,3738,86840,"4.304467987102718","Itacoatiara","AM"
"Brasil","Amazonas","Manacapuru","Manacapuru - AM",1302504,110,3,"Natural","1. Forest","1.1. Forest Formation",292977.005767753,284381.362545097,-2.9338968770367844,2,3830,85144,"4.498261768298413","Manacapuru","AM"
"Brasil","Amazonas","Manacapuru","Manacapuru - AM",1302504,110,4,"Natural","1. Forest","1.2. Savanna Formation",0,0,,2,3830,85144,"4.498261768298413","Manacapuru","AM"
"Brasil","Amazonas","Manacapuru","Manacapuru - AM",1302504,110,6,"Natural","1. Forest","1.4 Floodable Forest",226648.549777285,231862.60610085,2.30050283961163,2,3830,85144,"4.498261768298413","Manacapuru","AM"
"Brasil","Amazonas","Parintins","Parintins - AM",1303403,120,3,"Natural","1. Forest","1.1. Forest Formation",193478.52107549,195067.764289876,0.8214055004927093,1,13361,102066,"13.090549252444497","Parintins","AM"
"Brasil","Amazonas","Parintins","Parintins - AM",1303403,120,4,"Natural","1. Forest","1.2. Savanna Formation",0,13.0370391784668,,1,13361,102066,"13.090549252444497","Parintins","AM"
"Brasil","Amazonas","Parintins","Parintins - AM",1303403,120,6,"Natural","1. Forest","1.4 Floodable Forest",83595.7623146346,101492.566834771,21.408746118944496,1,13361,102066,"13.090549252444497","Parintins","AM"
"Brasil","Amazonas","Tefé","Tefé - AM",1304203,132,3,"Natural","1. Forest","1.1. Forest Formation",2113994.10080955,2103982.24750432,-0.4735989235445784,1,1110,61399,"1.8078470333393053","Tefé","AM"
"Brasil","Amazonas","Tefé","Tefé - AM",1304203,132,4,"Natural","1. Forest","1.2. Savanna Formation",34.9842911926269,24.7209876159667,-29.336891578421454,1,1110,61399,"1.8078470333393053","Tefé","AM"
"Brasil","Amazonas","Tefé","Tefé - AM",1304203,132,6,"Natural","1. Forest","1.4 Floodable Forest",175536.550146427,176062.083525248,0.29938686751140975,1,1110,61399,"1.8078470333393053","Tefé","AM"
"Brasil","Roraima","Alto Alegre","Alto Alegre - RR",1400050,138,3,"Natural","1. Forest","1.1. Forest Formation",2183539.80407993,2166378.65502756,-0.7859325037402286,1,1848,1848,"100.0","Alto Alegre","RS"
"Brasil","Roraima","Alto Alegre","Alto Alegre - RR",1400050,138,4,"Natural","1. Forest","1.2. Savanna Formation",1095.17901218261,955.34084887084,-12.768521105338113,1,1848,1848,"100.0","Alto Alegre","RS"
"Brasil","Roraima","Alto Alegre","Alto Alegre - RR",1400050,138,6,"Natural","1. Forest","1.4 Floodable Forest",40653.7171356993,36316.9635356932,-10.667545074735274,1,1848,1848,"100.0","Alto Alegre","RS"
"Brasil","Roraima","Caracaraí","Caracaraí - RR",1400209,142,3,"Natural","1. Forest","1.1. Forest Formation",2507165.92423998,2441180.07662692,-2.6318899349696134,1,0,18384,"0.0","Caracaraí","RR"
"Brasil","Roraima","Caracaraí","Caracaraí - RR",1400209,142,4,"Natural","1. Forest","1.2. Savanna Formation",827.792829956055,684.099491937256,-17.35861109432747,1,0,18384,"0.0","Caracaraí","RR"
"Brasil","Roraima","Caracaraí","Caracaraí - RR",1400209,142,6,"Natural","1. Forest","1.4 Floodable Forest",1343541.10716127,1266232.5786085,-5.754087324958216,1,0,18384,"0.0","Caracaraí","RR"
"Brasil","Pará","Acará","Acará - PA",1500206,154,3,"Natural","1. Forest","1.1. Forest Formation",253852.939769806,224641.216082293,-11.507341106233481,1,23411,53605,"43.67316481671486","Acará","PA"
"Brasil","Pará","Acará","Acará - PA",1500206,154,4,"Natural","1. Forest","1.2. Savanna Formation",0.625303558349609,0,-100,1,23411,53605,"43.67316481671486","Acará","PA"
"Brasil","Pará","Acará","Acará - PA",1500206,154,6,"Natural","1. Forest","1.4 Floodable Forest",61541.4070634032,58754.3995808058,-4.528670395407239,1,23411,53605,"43.67316481671486","Acará","PA"
"Brasil","Pará","Alenquer","Alenquer - PA",1500404,157,3,"Natural","1. Forest","1.1. Forest Formation",2030861.000331,1989509.55226152,-2.036153535999773,3,14842,52714,"28.155708161019845","Alenquer","PA"
"Brasil","Pará","Alenquer","Alenquer - PA",1500404,157,4,"Natural","1. Forest","1.2. Savanna Formation",166.789713989257,180.465385595703,8.199349515838165,3,14842,52714,"28.155708161019845","Alenquer","PA"
"Brasil","Pará","Alenquer","Alenquer - PA",1500404,157,6,"Natural","1. Forest","1.4 Floodable Forest",65797.9934697451,63593.3674830625,-3.350597594889141,3,14842,52714,"28.155708161019845","Alenquer","PA"
