municipality,state,total_eventos,total_afetados,populacao_total,percentual_afetados
Bugre,MG,1,45,3990,1.1278195488721803
Bujaru,PA,1,354,25700,1.377431906614786
Buriti,MA,1,675,27042,2.4961171510982916
Buriticupu,MA,4,16000,65226,24.530095360745715
Buritis,MG,1,0,22729,0.0
Buritis,RO,1,0,32385,0.0
Butiá,RS,2,2100,20405,10.291595197255575
Cacequi,RS,2,13561,13685,99.09389842893678
Cachoeira Do Arari,PA,2,7236,20460,35.36656891495601
Cachoeira Do Sul,RS,2,167656,83827,200.00238586612906
Cachoeiras De Macacu,RJ,2,33987,54370,62.51057568512047
Cachoeirinha,RS,2,272258,118294,230.15368488680744
Cachoeiro De Itapemirim,ES,1,769,189878,0.4049968927416552
Cacique Doble,RS,2,4603,4865,94.61459403905447
Cacoal,RO,1,310,78601,0.3943970178496457
Caconde,SP,1,30,18536,0.16184721622788087
Caetité,BA,1,536,47524,1.1278511909771904
Cafezal Do Sul,PR,1,350,4285,8.168028004667445
Caibaté,RS,1,4704,4954,94.95357287040775
Caibi,SC,1,0,6218,0.0
Caieiras,SP,1,16409,86623,18.9430058991261
Caiçara,RS,1,5071,5071,100.0
Caiçara Do Rio Do Vento,RN,2,1510,3304,45.70217917675545
Caldas Novas,GO,2,80,70463,0.11353476292522316
Camaquã,RS,3,63868,62759,101.7670772319508
Camargo,RS,2,2981,2591,115.0521034349672
Cambará Do Sul,RS,1,303,6545,4.629488158899924
Camboriú,SC,1,0,62289,0.0
Cambuci,RJ,1,16,14829,0.10789668892035875
Cambuí,MG,1,0,26491,0.0
Campanário,MG,2,1205,3559,33.857825231806686
Campestre Da Serra,RS,1,350,3247,10.779180782260548
Campina Das Missões,RS,1,5882,6117,96.15824750694784
Campina Grande,PB,1,0,385276,0.0
Campinas Do Sul,RS,1,5284,5509,95.91577418769288
Campinaçu,GO,1,591,3654,16.174055829228244
Campo Belo Do Sul,SC,3,0,7486,0.0
Campo Bom,RS,1,9600,60081,15.978429120687073
Campo Florido,MG,1,0,6870,0.0
Campo Largo,PR,3,180,112486,0.16001991358924667
Campo Novo,RS,1,1200,5459,21.98204799413812
Campos Borges,RS,2,30,3494,0.8586147681740127
Campos Dos Goytacazes,RJ,3,150815,463545,32.53513682598238
Campos Gerais,MG,1,3000,27623,10.86051478840097
Candelária,RS,2,24453,30176,81.03459703075292
Candiota,RS,4,11510,8776,131.1531449407475
Canela,RS,3,130540,39238,332.68770069830265
Canelinha,SC,1,12830,10603,121.0034895784212
Canguaretama,RN,9,30,30900,0.0970873786407767
Canguçu,RS,5,92252,53268,173.1846511977172
Canindé De São Francisco,SE,1,0,24693,0.0
Canoas,RS,4,203625,324025,62.84237327366715
Canoinhas,SC,3,19,52775,0.03600189483657035
Cansanção,BA,3,25525,32923,77.52938675090363
Cantanhede,MA,1,325,20457,1.588698245099477
Canudos,BA,1,4000,15755,25.38876547127896
Canudos Do Vale,RS,1,1656,1807,91.64360819037078
Capela De Santana,RS,1,150,11613,1.2916559028674761
Capelinha,MG,1,39626,34796,113.88090585124726
Capinzal,SC,1,50,20771,0.2407202349429493
Capitão,RS,1,2944,2636,111.68437025796662
Capitão Leônidas Marques,PR,1,248,14936,1.6604177825388324
Capitólio,MG,1,15617,8185,190.80024434941967
Capivari,SP,1,40876,48573,84.15374796697755
Capivari Do Sul,RS,1,7,3890,0.17994858611825193
Capixaba,AC,1,7880,8810,89.44381384790012
Capão Alto,SC,3,0,2753,0.0
Capão Bonito Do Sul,RS,1,1753,1753,100.0
Capão Do Cipó,RS,2,7398,3107,238.10749919536528
Capão Do Leão,RS,2,31500,24294,129.6616448505804
Caracaraí,RR,1,0,18384,0.0
Carazinho,RS,1,4200,59301,7.0825112561339605
Caraá,RS,2,14626,7313,200.0
Caraí,MG,1,2184,22343,9.7748735621895
Caridade Do Piauí,PI,1,3231,4825,66.96373056994818
Carlos Barbosa,RS,2,136,25193,0.53983249315286
Carlos Chagas,MG,2,5060,20087,25.19042166575397
Carlos Gomes,RS,1,1355,1607,84.31860609831985
Carmo Da Mata,MG,1,10927,10927,100.0
Carnaíba,PE,1,0,18585,0.0
Carutapera,MA,1,1750,22008,7.951653944020356
Casca,RS,1,3500,8648,40.47178538390379
Castanhal,PA,2,7900,173096,4.56394139668161
Catuji,MG,1,2165,6705,32.28933631618195
Catuípe,RS,1,9323,9323,100.0
Cavalcante,GO,1,0,9394,0.0
Caxambu,MG,4,229,21719,1.0543763525024172
Caxias Do Sul,RS,1,435482,435482,100.0
Caçapava Do Sul,RS,1,0,33700,0.0
