municipality,state,total_eventos,total_afetados,populacao_total,percentual_afetados
São Francisco Do Sul,SC,3,1526,42569,3.584768258591933
São Félix Do Xingu,PA,1,65,91293,0.07119932524947149
São Gabriel,RS,1,11900,60508,19.666820916242482
São Geraldo Do Araguaia,PA,1,4399,25584,17.194340212632895
São Geraldo Do Baixio,MG,1,2814,3487,80.69974189848007
São Gonçalo,RJ,1,1200,999901,0.12001188117623644
São Gonçalo Do Abaeté,MG,3,84,6252,1.3435700575815739
São Gonçalo Do Amarante,CE,1,40,43947,0.09101872710310147
São Gotardo,MG,1,4,31807,0.012575848083755147
São Jerônimo,RS,1,22141,22141,100.0
São Jorge,RS,2,5548,2774,200.0
São José Da Lapa,MG,1,31,19801,0.15655774960860563
São José Da Safira,MG,1,3300,4075,80.98159509202453
São José Das Missões,RS,1,2720,2720,100.0
São José De Mipibu,RN,1,0,39771,0.0
São José Do Calçado,ES,1,70,10417,0.6719784966881059
São José Do Cedro,SC,5,0,13672,0.0
São José Do Cerrito,SC,2,4000,9273,43.13598619648442
São José Do Divino,MG,3,4905,3837,127.83424550430023
São José Do Herval,RS,1,800,2204,36.29764065335753
São José Do Hortêncio,RS,1,245,4094,5.984367366878359
São José Do Inhacorá,RS,1,2406,2200,109.36363636363637
São José Do Norte,RS,2,1460,25523,5.720330682129844
São José Do Rio Claro,MT,1,28,17128,0.16347501167678655
São José Do Sul,RS,1,1645,2082,79.01056676272815
São José Dos Ausentes,RS,1,700,3290,21.27659574468085
São João,PE,1,460,21305,2.1591175780333254
São João Batista,MA,1,648,19966,3.2455173795452272
São João Batista,SC,2,98,26260,0.37319116527037316
São João Da Barra,RJ,1,9087,32767,27.73216956083865
São João Da Urtiga,RS,1,4726,4726,100.0
São João Das Missões,MG,1,0,11715,0.0
São João De Meriti,RJ,1,42791,459356,9.315432910422418
São João Do Itaperiú,SC,1,0,3438,0.0
São João Do Polêsine,RS,3,3249,2635,123.30170777988614
São João Do Soter,MA,1,1910,17104,11.166978484565014
São João Do Sul,SC,2,3259,7002,46.54384461582405
São Leopoldo,RS,1,216437,214210,101.03963400401474
São Lourenço Do Sul,RS,3,86608,43114,200.88138423713872
São Luiz Gonzaga,RS,2,49959,34558,144.56565773482262
São Marcos,RS,1,365,20105,1.815468788858493
São Martinho,RS,1,5773,5773,100.0
São Martinho Da Serra,RS,2,273,3201,8.52858481724461
São Mateus,ES,3,55,109067,0.050427718741690886
São Miguel Das Matas,BA,2,10006,10414,96.08219704244286
São Miguel Das Missões,RS,3,7586,7421,102.22342002425549
São Miguel Do Gostoso,RN,2,20,8659,0.23097355352812102
São Miguel Do Guamá,PA,2,12120,51527,23.521648844295225
São Miguel Do Iguaçu,PR,1,2500,25755,9.706853038245002
São Nicolau,RS,2,6228,5727,108.74803562074385
São Paulo Das Missões,RS,1,4,6367,0.06282393591958536
São Paulo De Olivença,AM,2,1588,31426,5.053140711512761
São Pedro Da Aldeia,RJ,1,606,88013,0.6885346482905934
São Pedro Da Serra,RS,1,79,3317,2.3816701839011154
São Pedro Das Missões,RS,1,1757,1886,93.16012725344645
São Pedro De Alcântara,SC,2,86,4710,1.8259023354564756
São Pedro Do Butiá,RS,1,3070,2873,106.85694396101636
São Pedro Do Suaçuí,MG,1,248,5570,4.452423698384201
São Pedro Do Sul,RS,1,626,16371,3.8238348298821085
São Rafael,RN,1,430,8106,5.3047125585985695
São Roberto,MA,1,211,5957,3.542051368138325
São Sebastião Da Amoreira,PR,1,196,8629,2.2714103604125624
São Sebastião Do Caí,RS,2,28094,21944,128.0258840685381
São Sepé,RS,3,20815,23798,87.4653332212791
São Simão,GO,1,158,17086,0.9247337001053494
São Tomé,RN,2,1666,10868,15.32940743467059
São Valentim,RS,2,3264,3632,89.86784140969164
São Valentim Do Sul,RS,1,2303,2168,106.22693726937268
São Valério Do Sul,RS,1,2543,2647,96.0710238005289
São Vendelino,RS,1,115,1944,5.915637860082304
São Vicente De Minas,MG,1,0,7008,0.0
São Vicente Do Sul,RS,5,16908,8440,200.3317535545024
Sério,RS,1,2281,2281,100.0
Tabaí,RS,2,106,4131,2.565964657467925
Taipu,RN,1,2370,11836,20.02365664075701
Taió,SC,1,60,17265,0.3475238922675934
Tamandaré,PE,1,4,20745,0.01928175463967221
Tanabi,SP,2,0,24055,0.0
Tangará,SC,2,300,8674,3.4586119437399123
Tanhaçu,BA,1,11900,20022,59.434621915892514
Tapera,RS,1,36,10452,0.3444316877152698
Tapes,RS,1,3000,16649,18.019100246261036
Tapira,MG,2,108,4102,2.6328620185275478
Taquara,RS,2,26092,54656,47.738583138173304
Taquari,RS,1,25198,26135,96.41476946623303
Taquaruçu Do Sul,RS,1,3119,2970,105.016835016835
Tarauacá,AC,2,23277,35526,65.52102685357202
Tartarugalzinho,AP,2,229,12435,1.8415761962203459
Tatuí,SP,1,1500,107975,1.389210465385506
Tavares,RS,2,2362,5351,44.141282003363855
Tefé,AM,1,1110,61399,1.8078470333393053
Tenente Portela,RS,2,28213,13716,205.69407990667833
Teresópolis,RJ,1,80264,163805,48.99972528311102
Terra De Areia,RS,1,140,9878,1.4172909495849362
Teutônia,RS,2,361,27265,1.32404181184669
Teófilo Otoni,MG,2,27751,134733,20.597032649759154
Tigrinhos,SC,1,0,1757,0.0
Timbé Do Sul,SC,1,0,5308,0.0
Tio Hugo,RS,1,3267,2724,119.9339207048458
Tiradentes Do Sul,RS,1,6461,6461,100.0
Tobias Barreto,SE,1,0,48039,0.0
Tocantins,MG,1,8460,15839,53.41246290801187
Tomé-Açu,PA,2,18718,56514,33.120996567222285
Toropi,RS,1,11,2952,0.37262872628726285
Torres,RS,1,70,34646,0.20204352594816138
Touros,RN,2,2003,31076,6.445488479855838
Tramandaí,RS,1,6,41655,0.014404033129276198
Travesseiro,RS,1,2568,2314,110.97666378565253
Treze Tílias,SC,1,0,6342,0.0
Trindade Do Sul,RS,1,5787,5787,100.0
Triunfo,RS,1,27498,25811,106.53597303475262
Trizidela Do Vale,MA,1,1175,18951,6.200200517123107
Três Arroios,RS,1,2591,2855,90.75306479859894
Três Cachoeiras,RS,1,0,10239,0.0
Três Corações,MG,1,155,72796,0.21292378702126488
Três Coroas,RS,1,19323,23855,81.00188639698176
Três De Maio,RS,2,25626,23726,108.00809238809745
Três Forquilhas,RS,1,892,2912,30.631868131868135
Três Lagoas,MS,3,87,101722,0.08552722125007373
Três Palmeiras,RS,2,9333,4381,213.03355398310887
Três Passos,RS,1,25436,23973,106.10269886956158
Três Ranchos,GO,1,2060,2817,73.12744053958112
Tubarão,SC,1,0,97281,0.0
Tucumã,PA,2,15,33651,0.044575198359632695
Tucunduva,RS,1,5901,5901,100.0
Tucuruí,PA,1,170,97109,0.17506101391220177
Tumiritinga,MG,1,2530,6291,40.216181847083135
Tunas,RS,1,3681,4395,83.7542662116041
Tuntum,MA,1,427,39257,1.0877041037267239
Tupanciretã,RS,1,20005,22286,89.76487480929731
Tupandi,RS,1,5029,3919,128.32355192651187
Tuparendi,RS,1,8557,8557,100.0
Turilândia,MA,1,700,22850,3.063457330415755
Turmalina,MG,1,538,18046,2.981270087554029
Turuçu,RS,1,1400,3522,39.75014196479273
Turvo,SC,2,230,11854,1.9402733254597606
Tutóia,MA,1,5000,52711,9.48568609967559
Ubatuba,SP,1,1624,78870,2.0590845695448206
Ubaíra,BA,2,10000,19759,50.60984867655246
Uberaba,MG,1,337836,296000,114.13378378378378
Ubiretama,RS,1,2296,2296,100.0
Uirapuru,GO,1,1684,2935,57.37649063032369
Ulianópolis,PA,2,14413,43345,33.25181681854885
Umburatiba,MG,1,2024,2700,74.96296296296296
Unaí,MG,1,2,77590,0.002577651759247326
União Da Serra,RS,1,1080,1487,72.6294552790854
Uruana,GO,1,600,13821,4.341219882787064
Uruburetama,CE,7,12,19765,0.0607133822413357
Uruguaiana,RS,2,6693,125507,5.332770283729194
Urupema,SC,2,50,2482,2.0145044319097503
Urussanga,SC,3,315,20222,1.5577094253783008
Uruçuca,BA,2,13360,19840,67.33870967741935
Vacaria,RS,5,64827,61345,105.67609422120792
Vale Do Sol,RS,2,3517,11077,31.75047395504198
Vale Real,RS,1,6058,5121,118.29720757664519
Vale Verde,RS,2,3086,3253,94.86627728250845
Valença,BA,1,10,88729,0.011270272402483968
Vanini,RS,1,100,1984,5.040322580645161
Vargem,SC,2,0,2808,0.0
Vargem Alta,ES,3,13296,19141,69.4634554098532
Vargeão,SC,1,0,3535,0.0
Varre-Sai,RJ,1,263,9503,2.7675470903925077
Vassouras,RJ,4,0,34439,0.0
Venda Nova Do Imigrante,ES,2,8,20468,0.039085401602501464
Venha-Ver,RN,1,3014,3821,78.87987437843496
Venâncio Aires,RS,2,23647,65964,35.84834151961676
Vera Cruz,RS,2,53390,23986,222.5881764362545
Vera Mendes,PI,1,0,2987,0.0
Veranópolis,RS,1,23336,22815,102.28358536050844
Veríssimo,MG,1,200,3466,5.770340450086555
Vespasiano Correa,RS,1,1818,1974,92.09726443768997
Viadutos,RS,1,4769,5311,89.79476558086989
Viamão,RS,2,778,239234,0.3252046113846694
Viana,ES,1,0,64999,0.0
Vicente Dutra,RS,1,5285,5285,100.0
Victor Graeff,RS,2,3039,3036,100.09881422924903
Vila Flores,RS,1,200,3207,6.236357966947303
Vila Maria,RS,1,85,4221,2.0137408197109687
Vila Nova Do Sul,RS,2,263,4221,6.23075100687041
Vila Velha,ES,1,1505,414420,0.3631581487379953
Virgolândia,MG,1,1600,5659,28.273546562996998
Vista Alegre,RS,2,2832,2832,100.0
Vista Alegre Do Prata,RS,2,48,1569,3.0592734225621414
Vista Gaúcha,RS,1,2783,2759,100.86988039144617
Vitória,ES,3,49,325453,0.015055937416462592
Vitória Das Missões,RS,2,3615,3485,103.73027259684362
Vitória Do Mearim,MA,1,0,31234,0.0
Vitória Do Xingu,PA,1,2,13480,0.014836795252225518
Várzea Da Palma,MG,1,1500,35804,4.189476036197073
Várzea Grande,MT,1,0,252709,0.0
Várzea Paulista,SP,1,214,107146,0.19972747466074328
Wanderley,BA,2,7431,12485,59.51942330796957
Westfalia,RS,1,2793,2793,100.0
Xapuri,AC,1,14394,16016,89.87262737262736
Xavantina,SC,1,200,4142,4.828585224529213
Xinguara,PA,4,74731,40573,184.188992679861
Água Azul Do Norte,PA,1,3225,25061,12.86860061450062
Água Boa,MG,1,10,15193,0.0658197854274995
Água Boa,MT,1,4,20844,0.019190174630589137
Águas Formosas,MG,1,10864,18482,58.781517151823394
Águas Mornas,SC,1,3616,5546,65.20014424810674
Áurea,RS,1,3665,3665,100.0
Óbidos,PA,6,7371,49254,14.965282007552686
