"CD_MUN","Sum(PRECIPITAÇÃO TOTAL, HORÁRIO (mm))","municipio","UF","População","DH_Mortos","DH_Feridos","DH_Enfermos","DH_Desabrigados","DH_Desalojados","DH_Desaparecidos","Registro","Protocolo","COBRADE","Status","DH_Outros Afetados","COBRADE_COD","Year"
4107207,2420.800000000006,"DOIS VIZINHOS","PR",36198,0,0,0,0,17,0,"2024-10-14","PR-F-4107207-13213-20241009","13213 - Tempestade Local/Convectiva - Granizo","Reconhecido",3600,13213,2024
4314100,2397.5999999999935,"PASSO FUNDO","RS",184869,0,0,0,0,0,0,"2024-10-11","RS-F-4314100-13213-20241002","13213 - Tempestade Local/Convectiva - Granizo","Registro",2280,13213,2024
4306601,1861.6000000000047,"DOM PEDRITO","RS",38916,0,0,0,49,520,0,"2024-10-08","RS-F-4306601-13214-20241001","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",2731,13214,2024
4319802,1736.8000000000054,"SAO VICENTE DO SUL","RS",8440,0,0,0,0,0,0,"2024-10-01","RS-F-4319802-13215-20241001","13215 - Tempestade Local/Convectiva - Vendaval","Registro",18,13215,2024
1507300,333.4,"SAO FELIX DO XINGU","PA",91293,0,0,0,0,12,0,"2024-10-02","PA-F-1507300-13215-20240929","13215 - Tempestade Local/Convectiva - Vendaval","Registro",53,13215,2024
4313706,2236.000000000006,"PALMEIRA DAS MISSOES","RS",34335,0,0,0,0,0,0,"2024-09-27","RS-F-4313706-13215-20240925","13215 - Tempestade Local/Convectiva - Vendaval","Registro",700,13215,2024
4303509,1701.400000000012,"CAMAQUA","RS",62759,0,0,0,0,60,0,"2024-09-25","RS-F-4303509-13214-20240925","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",62699,13214,2024
4304507,1796.2000000000119,"CANGUCU","RS",53268,0,0,0,0,4,0,"2024-09-27","RS-F-4304507-13214-20240925","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",21284,13214,2024
4315602,1871.6000000000088,"RIO GRANDE","RS",197253,0,0,0,43,150,0,"2024-09-27","RS-F-4315602-13214-20240925","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",10000,13214,2024
1508407,1855.2000000000046,"XINGUARA","PA",40573,0,2,0,10,80,0,"2024-09-28","PA-F-1508407-13215-20240924","13215 - Tempestade Local/Convectiva - Vendaval","Registro",24000,13215,2024
4321352,121.6000000000001,"TAVARES","RS",5351,0,0,0,0,6,0,"2024-10-03","RS-F-4321352-13214-20240924","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",556,13214,2024
4311007,2077.800000000009,"JAGUARAO","RS",27942,0,0,0,0,0,0,"2024-09-23","RS-F-4311007-13213-20240923","13213 - Tempestade Local/Convectiva - Granizo","Reconhecido",12000,13213,2024
3105608,1850.4000000000096,"BARBACENA","MG",126325,0,0,0,0,10,0,"2024-09-26","MG-F-3105608-13214-20240921","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",300,13214,2024
5005400,429.99999999999824,"MARACAJU","MS",37407,0,0,0,0,40,0,"2024-09-24","MS-F-5005400-13213-20240920","13213 - Tempestade Local/Convectiva - Granizo","Registro",0,13213,2024
4320800,2256.400000000005,"SOLEDADE","RS",30065,0,0,0,0,0,0,"2024-09-26","RS-F-4320800-13215-20240920","13215 - Tempestade Local/Convectiva - Vendaval","Registro",84,13215,2024
4304507,1796.2000000000119,"CANGUCU","RS",53268,0,0,0,0,0,0,"2024-09-23","RS-F-4304507-13213-20240919","13213 - Tempestade Local/Convectiva - Granizo","Registro",0,13213,2024
4105706,1458.8000000000095,"CLEVELANDIA","PR",17232,0,0,0,0,500,0,"2024-09-17","PR-F-4105706-13215-20240913","13215 - Tempestade Local/Convectiva - Vendaval","Reconhecido",0,13215,2024
4322509,2175.000000000009,"VACARIA","RS",61345,0,0,0,0,0,0,"2024-09-13","RS-F-4322509-13213-20240913","13213 - Tempestade Local/Convectiva - Granizo","Registro",0,13213,2024
1200344,,"MANOEL URBANO","AC",7989,0,0,0,0,0,0,"2024-09-16","AC-F-1200344-13215-20240912","13215 - Tempestade Local/Convectiva - Vendaval","Registro",100,13215,2024
1301209,,"COARI","AM",75909,0,53,235,120,280,0,"2024-09-17","AM-F-1301209-13215-20240910","13215 - Tempestade Local/Convectiva - Vendaval","Reconhecido",122,13215,2024
1504802,1377.6000000000022,"MONTE ALEGRE","PA",55459,0,0,0,0,75,0,"2024-08-29","PA-F-1504802-13215-20240827","13215 - Tempestade Local/Convectiva - Vendaval","Reconhecido",1675,13215,2024
1702208,1663.4000000000055,"ARAGUATINS","TO",31324,0,0,0,0,0,0,"2024-09-03","TO-F-1702208-13215-20240810","13215 - Tempestade Local/Convectiva - Vendaval","Registro",0,13215,2024
3205309,1066.4000000000033,"VITORIA","ES",325453,0,0,0,0,8,0,"2024-11-05","ES-F-3205309-13214-20240802","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",16,13214,2024
1200401,1849.0000000000034,"RIO BRANCO","AC",335796,0,0,0,0,0,0,"2024-08-05","AC-F-1200401-11420-20240729","11420 - Erosão de Margem Fluvial","Reconhecido",56,11420,2024
1200302,2226.000000000003,"FEIJO","AC",32311,0,0,0,50,0,0,"2024-08-05","AC-F-1200302-11420-20240729","11420 - Erosão de Margem Fluvial","Reconhecido",250,11420,2024
4208500,1977.6000000000147,"ITUPORANGA","SC",22255,0,0,0,0,16,0,"2024-07-16","SC-F-4208500-13214-20240707","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
2504009,533.999999999998,"CAMPINA GRANDE","PB",385276,0,0,0,0,0,0,"2024-07-09","PB-F-2504009-11321-20240707","11321 - Deslizamentos","Registro",0,11321,2024
3301009,1853.2000000000128,"CAMPOS DOS GOYTACAZES","RJ",463545,0,0,0,0,0,0,"2024-07-02","RJ-F-3301009-13112-20240629","13112 - Ciclones - Marés de Tempestade (Ressacas)","Registro",0,13112,2024
4302105,2358.199999999997,"BENTO GONCALVES","RS",107341,0,0,0,0,0,0,"2024-06-24","RS-F-4302105-13213-20240623","13213 - Tempestade Local/Convectiva - Granizo","Registro",65,13213,2024
2414407,30.19999999999998,"TOUROS","RN",31076,0,0,0,8,168,0,"2024-07-03","RN-F-2414407-13214-20240623","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",1080,13214,2024
2930501,274.59999999999945,"SERRINHA","RN",6581,0,0,0,240,120,0,"2024-06-19","RN-F-2413508-13214-20240619","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",1000,13214,2024
4311007,2077.800000000009,"JAGUARAO","RS",27942,0,0,0,0,0,0,"2024-06-21","RS-F-4311007-13214-20240619","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Não reconhecido",0,13214,2024
4316907,2204.200000000001,"SANTA MARIA","RN",4762,0,0,0,0,0,0,"2024-07-10","RN-F-2409332-13214-20240617","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
4306106,1888.0000000000057,"CRUZ ALTA","RS",62825,0,0,0,0,0,0,"2024-06-21","RS-F-4306106-13214-20240616","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",200,13214,2024
4318903,1878.4000000000055,"SAO LUIZ GONZAGA","RS",34558,0,1,0,0,400,0,"2024-06-16","RS-F-4318903-13215-20240615","13215 - Tempestade Local/Convectiva - Vendaval","Reconhecido",15000,13215,2024
4302105,2358.199999999997,"BENTO GONCALVES","RS",107341,0,0,0,0,0,0,"2024-06-24","RS-F-4302105-13214-20240615","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
4209300,1982.2000000000103,"LAGES","SC",156737,0,0,0,0,0,0,"2024-06-18","SC-F-4209300-13214-20240613","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Não reconhecido",6000,13214,2024
2800308,1431.4000000000058,"ARACAJU","SE",570937,0,0,0,22,0,0,"2024-11-28","SE-F-2800308-11321-20240613","11321 - Deslizamentos","Registro",0,11321,2024
1200302,2226.000000000003,"FEIJO","AC",32311,0,0,0,0,0,0,"2024-08-05","AC-F-1200302-11321-20240601","11321 - Deslizamentos","Registro",0,11321,2024
4202503,3218.3999999999655,"BOM JARDIM DA SERRA","SC",4400,0,0,0,0,0,0,"2024-06-24","SC-F-4202503-13214-20240531","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Não reconhecido",411,13214,2024
2414407,30.19999999999998,"TOUROS","RN",31076,0,0,0,0,67,0,"2024-06-04","RN-F-2414407-12300-20240530","12300 - Alagamentos","Registro",680,12300,2024
4207502,1944.8000000000109,"INDAIAL","SC",54794,0,0,0,0,0,0,"2024-06-12","SC-F-4207502-11321-20240528","11321 - Deslizamentos","Registro",0,11321,2024
4207502,1944.8000000000109,"INDAIAL","SC",54794,0,0,0,0,0,0,"2024-05-29","SC-F-4207502-11321-20240524","11321 - Deslizamentos","Registro",0,11321,2024
1303403,2779.3999999999996,"PARINTINS","AM",102066,0,0,0,11,1240,0,"2024-05-30","AM-F-1303403-13214-20240524","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",12110,13214,2024
4318903,1878.4000000000055,"SAO LUIZ GONZAGA","RS",34558,0,0,0,0,0,0,"2024-05-30","RS-F-4318903-13214-20240523","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",34558,13214,2024
1508001,2011.0000000000093,"TOME-ACU","PA",56514,0,0,0,9,1380,0,"2024-05-30","PA-F-1508001-13214-20240521","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",17200,13214,2024
1500602,2104.800000000006,"ALTAMIRA","PA",105030,0,0,0,0,0,0,"2024-05-23","PA-F-1500602-13214-20240520","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",200,13214,2024
4207502,1944.8000000000109,"INDAIAL","SC",54794,0,0,0,0,0,0,"2024-05-27","SC-F-4207502-13214-20240519","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
3204906,1371.2000000000069,"SAO MATEUS","ES",109067,0,0,0,0,0,0,"2024-07-09","ES-F-3204906-11321-20240518","11321 - Deslizamentos","Registro",0,11321,2024
3301009,1853.2000000000128,"CAMPOS DOS GOYTACAZES","RJ",463545,0,0,0,0,0,0,"2024-05-22","RJ-F-3301009-13112-20240516","13112 - Ciclones - Marés de Tempestade (Ressacas)","Registro",0,13112,2024
4306601,1861.6000000000047,"DOM PEDRITO","RS",38916,0,0,0,0,0,0,"2024-05-13","RS-F-4306601-13214-20240513","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",1930,13214,2024
4201406,1865.6000000000126,"ARARANGUA","SC",61339,0,0,0,90,200,0,"2024-05-12","SC-F-4201406-13214-20240512","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",1800,13214,2024
1301902,237.7999999999999,"ITACOATIARA","AM",86840,0,0,0,0,10,0,"2024-05-14","AM-F-1301902-13214-20240512","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",3728,13214,2024
4303608,2193.6000000000054,"CAMBARA DO SUL","RS",6545,0,0,0,0,4,0,"2024-05-13","RS-F-4303608-13215-20240511","13215 - Tempestade Local/Convectiva - Vendaval","Reconhecido",299,13215,2024
1502400,2641.5999999999985,"CASTANHAL","PA",173096,0,0,0,20,980,0,"2024-05-13","PA-F-1502400-13214-20240510","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",6900,13214,2024
1505106,2119.2000000000075,"ÓBIDOS","PA",49254,0,0,0,0,4,0,"2024-05-09","PA-F-1505106-12200-20240509","12200 - Enxurradas","Registro",75,12200,2024
1505106,2119.2000000000075,"ÓBIDOS","PA",49254,0,0,0,16,1072,0,"2024-05-10","PA-F-1505106-13214-20240509","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",6164,13214,2024
4304663,1911.8000000000081,"CAPAO DO LEAO","RS",24294,0,0,0,0,0,0,"2024-05-10","RS-F-4304663-13214-20240509","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",7500,13214,2024
2800308,1431.4000000000058,"ARACAJU","SE",570937,0,0,0,26,0,0,"2024-07-15","SE-F-2800308-12100-20240509","12100 - Inundações","Registro",0,12100,2024
4317301,1443.6000000000092,"SANTA VITORIA DO PALMAR","RS",31002,0,0,0,25,60,0,"2024-05-10","RS-F-4317301-13214-20240508","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",30917,13214,2024
4301602,1878.000000000009,"BAGE","RS",116792,0,0,0,0,0,0,"2024-05-14","RS-F-4301602-13214-20240507","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",116792,13214,2024
4311304,1864.200000000009,"LAGOA VERMELHA","RS",27529,0,0,0,7,5,0,"2024-05-14","RS-F-4311304-13214-20240507","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
4318622,669.6000000000008,"SAO JOSE DOS AUSENTES","RS",3290,0,0,0,0,0,0,"2024-05-06","RS-F-4318622-13214-20240506","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",700,13214,2024
4318002,1459.0000000000034,"SAO BORJA","RS",61662,0,0,0,200,500,0,"2024-05-07","RS-F-4318002-12100-20240505","12100 - Inundações","Reconhecido",1000,12100,2024
4322400,1588.0000000000057,"URUGUAIANA","RS",125507,0,0,0,297,1836,0,"2024-05-07","RS-F-4322400-12100-20240504","12100 - Inundações","Reconhecido",1200,12100,2024
4321352,121.6000000000001,"TAVARES","RS",5351,0,0,0,0,0,0,"2024-05-09","RS-F-4321352-12300-20240504","12300 - Alagamentos","Reconhecido",1800,12300,2024
1501402,3184.199999999991,"BELEM","PA",1392031,0,0,0,0,0,0,"2024-10-23","PA-F-1501402-11420-20240504","11420 - Erosão de Margem Fluvial","Registro",0,11420,2024
4107207,2420.800000000006,"DOIS VIZINHOS","PR",36198,0,0,0,98,2100,0,"2024-05-10","PR-F-4107207-12200-20240503","12200 - Enxurradas","Reconhecido",4800,12200,2024
4314100,2397.5999999999935,"PASSO FUNDO","RS",184869,0,0,0,0,468,0,"2024-06-05","RS-F-4314100-13214-20240503","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",0,13214,2024
1501402,3184.199999999991,"BELEM","PA",1392031,0,0,0,0,0,0,"2024-10-23","PA-F-1501402-11420-20240503","11420 - Erosão de Margem Fluvial","Registro",0,11420,2024
3548906,630.1999999999992,"SAO CARLOS","SC",10284,0,0,0,0,42,0,"2024-05-10","SC-F-4216008-13214-20240502","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Registro",0,13214,2024
4303905,2128.2000000000075,"CAMPO BOM","RS",60081,0,0,0,280,3200,0,"2024-05-07","RS-F-4303905-13214-20240502","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",6120,13214,2024
4119806,1903.0000000000052,"PLANALTO","RS",10524,0,0,0,0,0,0,"2024-05-04","RS-F-4314704-13214-20240502","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",10524,13214,2024
4313706,2236.000000000006,"PALMEIRA DAS MISSOES","RS",34335,0,0,0,0,0,0,"2024-05-04","RS-F-4313706-13214-20240502","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",34335,13214,2024
4308508,1924.8000000000063,"FREDERICO WESTPHALEN","RS",28848,0,0,0,6,22,0,"2024-05-04","RS-F-4308508-13214-20240502","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",32599,13214,2024
4317806,2320.0000000000064,"SANTO AUGUSTO","RS",13970,0,0,0,0,0,0,"2024-05-03","RS-F-4317806-13214-20240502","13214 - Tempestade Local/Convectiva - Chuvas Intensas","Reconhecido",13970,13214,2024
