"state","municipality","register","COBRADE","population","deaths","injured","sick","displaced","homeless","disapeared","other affecteds","Year"
"MG","Rio Preto","2024-12-12","13214 - Tempestade Local/Convectiva - Chuvas Intensas",5292,0,0,0,0,0,0,3700,2024
"RJ","Barra do Piraí","2024-12-11","13214 - Tempestade Local/Convectiva - Chuvas Intensas",94855,0,0,0,0,0,0,0,2024
"MG","Guaranésia","2024-12-11","13215 - Tempestade Local/Convectiva - Vendaval",18714,0,0,0,0,72,0,760,2024
"RJ","Sapucaia","2024-12-17","12200 - Enxurradas",17504,0,0,0,0,0,0,19,2024
"MT","Várzea Grande","2024-12-16","13214 - Tempestade Local/Convectiva - Chuvas Intensas",252709,0,0,0,0,0,0,0,2024
"MG","Juiz de Fora","2024-12-17","13214 - Tempestade Local/Convectiva - Chuvas Intensas",517872,0,0,0,0,0,0,48750,2024
"SC","Mafra","2024-12-11","13214 - Tempestade Local/Convectiva - Chuvas Intensas",52920,0,0,0,0,0,0,0,2024
"MG","Miraí","2024-12-16","13214 - Tempestade Local/Convectiva - Chuvas Intensas",13800,0,0,0,0,0,0,1000,2024
"PR","Piraí do Sul","2024-12-30","12100 - Inundações",23425,0,0,0,32,81,0,0,2024
"PR","Ipiranga","2024-12-16","12200 - Enxurradas",14153,0,0,0,11,22,0,7000,2024
"MS","Bataguassu","2024-12-17","24200 - Rompimento/colapso de barragens",19825,0,0,0,0,0,0,0,2024
"PR","Cafezal do Sul","2024-12-16","12200 - Enxurradas",4285,0,0,0,0,0,0,350,2024
"PR","Santa Maria do Oeste","2024-12-16","12200 - Enxurradas",11497,0,0,0,0,0,0,104,2024
"PR","Cândido de Abreu","2024-12-19","12200 - Enxurradas",16662,0,0,0,0,0,0,4160,2024
"PR","Rio Azul","2024-12-19","12100 - Inundações",14093,0,0,0,0,0,0,1751,2024
"PR","Santa Cruz de Monte Castelo","2024-12-23","12100 - Inundações",8093,0,0,0,0,12,0,18,2024
"SC","Barra Bonita","2024-12-11","12100 - Inundações",1878,0,0,0,0,7,0,21,2024
"MS","Coronel Sapucaia","2024-12-09","13214 - Tempestade Local/Convectiva - Chuvas Intensas",14064,0,0,0,0,0,0,0,2024
"PR","Curitiba","2024-12-16","11321 - Deslizamentos",1746896,0,0,0,0,7,0,0,2024
"PR","Dois Vizinhos","2024-12-16","12200 - Enxurradas",36198,0,0,0,0,0,0,1260,2024
"SC","Flor do Sertão","2024-12-09","13214 - Tempestade Local/Convectiva - Chuvas Intensas",1588,0,0,0,0,0,0,1000,2024
"SC","Canoinhas","2024-12-09","13214 - Tempestade Local/Convectiva - Chuvas Intensas",52775,0,0,0,0,0,0,11,2024
"PR","Enéas Marques","2024-12-16","12200 - Enxurradas",6101,0,0,0,0,0,0,900,2024
"PR","Cruzeiro do Oeste","2024-12-12","11321 - Deslizamentos",20419,0,0,0,0,0,0,24,2024
"SC","Joinville","2024-12-10","13214 - Tempestade Local/Convectiva - Chuvas Intensas",515250,0,0,0,0,0,0,0,2024
"SC","São Francisco do Sul","2024-12-09","13214 - Tempestade Local/Convectiva - Chuvas Intensas",42569,0,0,0,0,2,0,0,2024
"MG","Conceição do Pará","2024-12-13","11321 - Deslizamentos",5162,0,0,0,255,0,0,0,2024
"SC","São José do Cedro","2024-12-08","13214 - Tempestade Local/Convectiva - Chuvas Intensas",13672,0,0,0,0,0,0,0,2024
"PR","Barracão","2024-12-13","12200 - Enxurradas",9737,0,0,0,0,0,0,90,2024
"SC","São Bento do Sul","2024-12-09","13214 - Tempestade Local/Convectiva - Chuvas Intensas",74797,0,0,0,0,0,0,200,2024
"SC","Princesa","2024-12-16","12200 - Enxurradas",2758,0,0,0,0,0,0,0,2024
"SC","Araquari","2024-12-07","13214 - Tempestade Local/Convectiva - Chuvas Intensas",24814,0,0,0,3,0,0,0,2024
"SC","Barra Velha","2024-12-09","12300 - Alagamentos",22403,0,0,0,0,0,0,0,2024
"SC","Dionísio Cerqueira","2024-12-07","12200 - Enxurradas",14801,0,0,0,0,1,0,2999,2024
"PR","Prudentópolis","2024-12-13","13214 - Tempestade Local/Convectiva - Chuvas Intensas",48793,0,0,0,0,0,0,22518,2024
"SC","Guaraciaba","2024-12-09","12200 - Enxurradas",10498,0,0,0,0,0,0,0,2024
"PR","Roncador","2024-12-17","12200 - Enxurradas",11544,0,0,0,0,0,0,760,2024
"SC","Bom Retiro","2024-12-07","13214 - Tempestade Local/Convectiva - Chuvas Intensas",8942,0,0,0,0,0,0,853,2024
"SC","Rio Rufino","2024-12-09","13214 - Tempestade Local/Convectiva - Chuvas Intensas",2436,0,0,0,0,0,0,0,2024
"SC","Içara","2024-12-09","13214 - Tempestade Local/Convectiva - Chuvas Intensas",58859,0,0,0,0,0,0,2,2024
"PR","Ivaí","2024-12-26","13214 - Tempestade Local/Convectiva - Chuvas Intensas",12806,0,0,0,0,2,0,500,2024
"RS","Rio Grande","2024-12-16","13215 - Tempestade Local/Convectiva - Vendaval",197253,0,0,0,0,0,0,10000,2024
"PE","Abreu e Lima","2024-12-16","11321 - Deslizamentos",94428,0,0,0,0,0,0,0,2024
"RS","Candiota","2024-12-10","13215 - Tempestade Local/Convectiva - Vendaval",8776,0,0,0,0,0,0,480,2024
"MG","Pequeri","2024-12-16","13214 - Tempestade Local/Convectiva - Chuvas Intensas",3165,0,0,0,0,0,0,1000,2024
"SC","Palma Sola","2024-12-09","13214 - Tempestade Local/Convectiva - Chuvas Intensas",7765,0,0,0,0,0,0,15,2024
"CE","Poranga","2024-12-06","13215 - Tempestade Local/Convectiva - Vendaval",12003,0,0,0,0,0,0,0,2024
"MG","Santana dos Montes","2024-12-05","13214 - Tempestade Local/Convectiva - Chuvas Intensas",3822,0,0,0,0,0,0,0,2024
"PE","Serra Talhada","2024-12-04","13213 - Tempestade Local/Convectiva - Granizo",79241,0,0,0,0,0,0,0,2024
"PE","Carnaíba","2024-12-05","13213 - Tempestade Local/Convectiva - Granizo",18585,0,0,0,0,0,0,0,2024
"MS","Ivinhema","2024-12-09","12200 - Enxurradas",22355,0,0,0,0,0,0,0,2024
"MS","Coronel Sapucaia","2024-12-04","13214 - Tempestade Local/Convectiva - Chuvas Intensas",14064,0,0,0,0,0,0,0,2024
"TO","Araguaína","2024-12-04","12300 - Alagamentos",150520,0,0,0,0,0,0,0,2024
"MG","Manhuaçu","2024-12-05","13214 - Tempestade Local/Convectiva - Chuvas Intensas",79635,0,0,0,0,0,0,4000,2024
"MG","São José do Divino","2024-12-16","13214 - Tempestade Local/Convectiva - Chuvas Intensas",3837,0,0,0,0,0,0,3700,2024
"MG","Dona Eusébia","2024-12-05","13214 - Tempestade Local/Convectiva - Chuvas Intensas",6001,0,0,0,0,0,0,200,2024
"MS","Sonora","2024-12-03","13214 - Tempestade Local/Convectiva - Chuvas Intensas",14867,0,0,0,0,0,0,0,2024
"MG","Capelinha","2024-12-11","13214 - Tempestade Local/Convectiva - Chuvas Intensas",34796,0,0,0,2,26,0,39598,2024
"SC","Curitibanos","2024-12-03","13215 - Tempestade Local/Convectiva - Vendaval",37774,0,0,0,0,0,0,0,2024
"MG","Dom Silvério","2024-12-11","13215 - Tempestade Local/Convectiva - Vendaval",5193,0,0,0,0,0,0,500,2024
"SC","Anita Garibaldi","2024-12-02","13215 - Tempestade Local/Convectiva - Vendaval",8627,0,0,0,0,0,0,0,2024
"RS","Ciríaco","2024-12-03","13215 - Tempestade Local/Convectiva - Vendaval",4922,0,0,0,0,0,0,0,2024
"SC","Jaguaruna","2024-12-07","13112 - Ciclones - Marés de Tempestade (Ressacas)",17291,0,0,0,0,0,0,0,2024
"RS","Arroio do Tigre","2024-12-02","13215 - Tempestade Local/Convectiva - Vendaval",12648,0,40,0,0,0,0,13373,2024
"RS","Minas do Leão","2024-12-03","13215 - Tempestade Local/Convectiva - Vendaval",7631,0,0,0,0,0,0,254,2024
"RS","Arambaré","2024-12-04","13215 - Tempestade Local/Convectiva - Vendaval",3693,0,0,0,0,0,0,850,2024
"RS","Chuvisca","2024-12-09","13215 - Tempestade Local/Convectiva - Vendaval",4944,0,3,0,0,60,0,437,2024
"RS","Santana da Boa Vista","2024-12-03","13211 - Tempestade Local/Convectiva - Tornados",8244,0,0,0,0,20,0,0,2024
"RS","Santana da Boa Vista","2024-12-06","13214 - Tempestade Local/Convectiva - Chuvas Intensas",8244,0,0,0,0,1,0,79,2024
"MG","Salinas","2024-12-02","13214 - Tempestade Local/Convectiva - Chuvas Intensas",39182,0,0,0,0,32,0,12000,2024
"MG","Sem-Peixe","2024-12-05","13214 - Tempestade Local/Convectiva - Chuvas Intensas",2847,0,0,0,0,0,0,40,2024
"PE","Ipojuca","2024-12-23","11321 - Deslizamentos",80542,0,0,0,0,0,0,0,2024
"ES","Irupi","2024-12-05","13214 - Tempestade Local/Convectiva - Chuvas Intensas",11729,0,0,0,0,0,0,30,2024
